label,sublabel,description,styles,bgcolor
もえるごみ,,,,#ff9f37
もえないごみ,,,,#F5A9F2
粗大ごみ（有料）,,,,#13c4e1
古紙類,,,,#bbe400
町会リサイクル,,,,#bdbdbd
